signal, time
1, 54642
2, 19452
3, 50182
4, 9158
5, 9059
6, 9018
7, 37702
8, 7786
9, 9544
10, 8670
11, 7586
12, 7044
13, 6829
14, 6709
15, 6612
16, 7021
17, 7126
18, 6988
19, 6904
20, 8006
21, 13851
22, 10171
23, 7932
24, 7928
25, 8016
26, 7731
27, 7800
28, 7768
29, 7404
30, 7165
31, 7088
32, 7251
33, 7169
34, 7366
35, 7238
36, 7244
37, 7149
38, 7176
39, 7239
40, 7165
41, 7082
42, 7105
43, 7173
44, 7164
45, 7096
46, 7131
47, 7177
48, 7072
49, 7042
50, 7066
51, 7125
52, 7137
53, 7145
54, 7099
55, 7127
56, 7137
57, 7107
58, 7190
59, 7142
60, 7112
61, 7085
62, 7049
63, 7143
64, 7098
65, 7094
66, 7096
67, 7102
68, 7189
69, 7097
70, 7166
71, 7076
72, 7108
73, 7061
74, 7140
75, 7078
76, 7090
77, 8320
78, 9383
79, 9097
80, 7084
81, 7103
82, 7119
83, 7071
84, 7121
85, 7118
86, 7086
87, 7066
88, 7088
89, 7131
90, 7055
91, 7048
92, 7031
93, 7066
94, 7034
95, 7034
96, 6966
97, 6997
98, 7122
99, 7184
100, 7395
101, 7379
102, 7551
103, 7313
104, 7393
105, 7322
106, 7878
107, 7294
108, 7757
109, 7229
110, 7093
111, 6426
112, 7221
113, 7221
114, 6641
115, 7152
116, 7012
117, 6967
118, 6709
119, 6637
120, 6627
121, 6592
122, 6616
123, 6570
124, 6588
125, 6583
126, 6750
127, 7387
128, 8223
129, 8388
130, 9206
131, 7727
132, 6616
133, 8588
134, 7850
135, 7843
136, 7888
137, 7852
138, 7915
139, 7784
140, 7768
141, 7778
142, 7852
143, 7936
144, 8223
145, 9650
146, 8015
147, 8404
148, 7953
149, 8259
150, 6592
151, 8075
152, 8328
153, 8689
154, 8346
155, 9725
156, 8764
157, 8026
158, 7921
159, 8194
160, 8479
161, 8648
162, 8790
163, 8496
164, 8282
165, 8773
166, 6483
167, 6476
168, 6478
169, 6436
170, 6457
171, 6349
172, 6286
173, 10025
174, 9165
175, 6756
176, 6748
177, 6700
178, 6703
179, 6736
180, 6754
181, 6726
182, 6711
183, 6738
184, 6667
185, 6652
186, 6728
187, 6769
188, 6707
189, 6682
190, 6677
191, 6727
192, 6721
193, 6654
194, 6653
195, 15095
196, 6732
197, 6700
198, 6749
199, 6508
200, 6510
201, 6488
202, 6514
203, 6390
204, 6497
205, 6505
206, 6561
207, 6529
208, 6533
209, 6477
210, 6504
211, 6448
212, 6496
213, 6466
214, 6492
215, 6483
216, 6529
217, 6490
218, 6521
219, 6536
220, 6451
221, 6353
222, 6367
223, 6430
224, 6371
225, 6422
226, 6400
227, 6381
228, 6368
229, 7718
230, 7106
231, 8785
232, 6894
233, 8100
234, 7419
235, 8464
236, 7990
237, 8724
238, 7842
239, 7678
240, 7570
241, 7574
242, 8479
243, 7609
244, 7729
245, 7617
246, 10307
247, 9606
248, 9603
249, 9579
250, 9546
251, 9623
252, 9795
253, 9417
254, 9368
255, 9448
256, 10056
257, 8940
258, 9812
259, 9742
260, 9130
261, 9554
262, 9431
263, 9155
264, 9817
265, 9423
266, 8104
267, 7425
268, 7353
269, 7326
270, 7251
271, 7316
272, 7282
273, 7380
274, 7271
275, 7167
276, 7135
277, 7248
278, 7253
279, 7657
280, 7590
281, 7567
282, 7370
283, 7306
284, 7319
285, 9237
286, 9083
287, 8994
288, 10819
289, 9694
290, 8930
291, 8940
292, 8236
293, 7797
294, 7773
295, 7856
296, 7807
297, 7567
298, 7347
299, 7551
300, 8493
301, 9172
302, 7139
303, 7390
304, 9366
305, 7303
306, 9482
307, 9049
308, 8873
309, 6880
310, 7612
311, 7530
312, 7365
313, 7118
314, 6593
315, 6658
316, 6484
317, 6975
318, 6756
319, 7365
320, 7334
321, 7094
322, 7132
323, 7042
324, 7041
325, 6990
326, 7645
327, 7290
328, 7384
329, 7535
330, 7234
331, 7190
332, 7116
333, 7688
334, 7244
335, 7710
336, 7429
337, 7654
338, 7194
339, 7656
340, 7454
341, 8050
342, 7322
343, 6793
344, 7835
345, 7750
346, 8513
347, 7927
348, 7695
349, 6989
350, 7065
351, 7370
352, 7347
353, 7133
354, 6984
355, 7443
356, 6727
357, 7273
358, 7273
359, 7746
360, 7141
361, 6763
362, 6682
363, 6977
364, 7226
365, 7176
366, 7283
367, 7200
368, 7026
369, 7000
370, 7943
371, 7828
372, 8079
373, 7257
374, 6996
375, 6976
376, 6929
377, 8008
378, 7379
379, 7818
380, 7424
381, 7772
382, 6562
383, 6494
384, 6476
385, 6257
386, 7438
387, 8013
388, 7420
389, 6507
390, 7618
391, 7548
392, 7558
393, 7310
394, 7375
395, 7383
396, 7234
397, 7204
398, 7227
399, 7870
400, 8169
401, 8035
402, 7723
403, 8036
404, 7898
405, 7730
406, 7797
407, 7794
408, 7273
409, 7364
410, 7267
411, 7198
412, 7209
413, 17438
414, 7543
415, 7368
416, 7222
417, 7159
418, 7393
419, 7381
420, 7360
421, 7314
422, 7208
423, 7339
424, 6945
425, 7235
426, 7273
427, 7203
428, 7072
429, 7307
430, 7241
431, 7406
432, 7264
433, 7089
434, 7167
435, 7206
436, 6579
437, 6812
438, 7058
439, 6977
440, 6968
441, 7094
442, 6927
443, 7415
444, 6781
445, 7222
446, 7242
447, 7685
448, 7699
449, 7621
450, 7555
451, 6980
452, 7240
453, 7417
454, 7312